Block,Irrigation,Cultivar,Inoculum,Plant,30-Oct-20,19-Nov-20,30-Nov-20,14-Dec-20,11-Jan-21,25-Jan-21,8-Feb-21,22-Feb-21,8-Mar-21,22-Mar-21,5-Apr-21,17-Apr-21,M-4/17/2021,3-May-21,17-May-21,31-May-21,M-5/31/2021,14-Jun-21,28-Jun-21
2,High,Fronteras,Control,15,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Control,16,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
2,High,Fronteras,Control,17,,,,,,,,,,,,1,2,2,1,1,1,1,3
2,High,Fronteras,Control,18,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Control,19,,,,,,,,,,,,1,2,2,2,2,1,2,1
2,High,Fronteras,Control,20,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
2,High,Fronteras,Control,21,,,,,,,,,,,,1,2,2,2,2,1,2,2
2,High,Fronteras,Control,22,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Control,23,,,,,,,,,,,,2,2,2,2,2,1,2,2
2,High,Fronteras,Control,24,,,,,,,,,,,,1,2,2,2,2,1,2,2
2,High,Fronteras,Control,25,"out of ground, replaced",,,,,,,,,,,1,1,2,2,2,1,2,2
2,High,Fronteras,Control,26,,,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Control,27,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Control,28,,,,,,,,,,,,2,3,2,3,2,1,2,1
2,High,Fronteras,Control,29,,,,,,,,,,,,1,2,2,2,2,1,3,2
2,High,Fronteras,Control,30,,,,,,,,,,,,2,2,2,2,2,sampled,sampled,sampled
3,High,Fronteras,Control,1,,,,,,,,,,,,1,1,1,2,2,1,2,2
3,High,Fronteras,Control,2,,,,,,,,,,,,1,2,2,3,2,1,2,2
3,High,Fronteras,Control,3,,,,,,,,,,,,1,2,2,1,1,1,2,2
3,High,Fronteras,Control,4,,,,,,,,,,,,1,2,1,3,2,1,2,2
3,High,Fronteras,Control,5,,,,,,,,,,,,2,1,2,2,2,1,2,1
3,High,Fronteras,Control,6,,,,,,,,,,,,1,2,1,1,1,1,2,2
3,High,Fronteras,Control,7,,,,,,,,,,,,1,1,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Control,8,,,,,,,,,,,,1,1,1,1,1,1,2,1
3,High,Fronteras,Control,9,,,,,,,,,,,,1,1,1,1,1,1,2,1
3,High,Fronteras,Control,10,,,,,,,,,,,,1,1,2,2,2,1,2,2
3,High,Fronteras,Control,11,,,,,,,,,,,,1,1,2,3,1,1,2,3
3,High,Fronteras,Control,12,,,,,,,,,,,,1,1,2,1,1,1,2,3
3,High,Fronteras,Control,13,,,,,,,,,,,,1,2,2,1,2,1,5,5
3,High,Fronteras,Control,14,,,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Control,15,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Control,16,,,,,,,,,,,,0,1,1,2,1,1,2,2
3,High,Fronteras,Control,17,,,,,,,,,,,,1,1,1,2,1,1,2,3
3,High,Fronteras,Control,18,,,,,,,,,,,,1,2,2,2,1,1,1,4
3,High,Fronteras,Control,19,,,,,,,,,,,,1,1,1,1,1,1,2,3
3,High,Fronteras,Control,20,,,,,,,,,,,,1,2,2,2,1,1,2,3
3,High,Fronteras,Control,21,,,,,,,,,,,,1,1,2,1,1,1,2,1
3,High,Fronteras,Control,22,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Control,23,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Control,24,,,,,,,,,,,,1,1,1,1,1,1,2,2
3,High,Fronteras,Control,25,,,,,,,,,,,,0,1,0,0,1,1,1,0
3,High,Fronteras,Control,26,,,,,,,,,,,,0,1,1,1,1,1,1,0
3,High,Fronteras,Control,27,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Control,28,,,,,,,,,,,,0,1,1,1,1,1,1,2
3,High,Fronteras,Control,29,,,,,,,,,,,,0,1,1,1,1,1,1,2
3,High,Fronteras,Control,30,,,,,,,,,,,,1,1,1,1,1,1,2,2
4,High,Fronteras,Control,1,,,,,,,,,,,,0,1,1,1,3,1,5,5
4,High,Fronteras,Control,2,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Control,3,,,,,,,,,,,,1,1,2,3,2,1,2,3
4,High,Fronteras,Control,4,,,,,,,,,,,,1,1,2,1,5,1,5,5
4,High,Fronteras,Control,5,,,,,,,,,,,,1,1,2,2,3,1,4,5
4,High,Fronteras,Control,6,,,,,,,,,,,,1,2,1,2,0,1,1,5
4,High,Fronteras,Control,7,,,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Control,8,,,,,,,,,,,,1,1,0,0,1,1,1,5
4,High,Fronteras,Control,9,,,,,,,,,,,,3,1,5,5,5,1,5,5
4,High,Fronteras,Control,10,,,,,,,,,,,,2,2,2,3,2,1,4,5
4,High,Fronteras,Control,11,,,,,,,,,,,,1,1,sampled,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Control,12,,,,,,,,,,,,1,1,2,2,1,1,2,4
4,High,Fronteras,Control,13,,,,,,,,,,,,1,2,2,2,2,1,4,5
4,High,Fronteras,Control,14,,,,,,,,,,,,1,1,1,1,2,1,2,3
4,High,Fronteras,Control,15,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Control,16,,,,,,,,,,,,0,1,1,0,0,1,1,4
4,High,Fronteras,Control,17,,,,,,,,,,,,1,1,2,1,1,1,2,3
4,High,Fronteras,Control,18,,,,,,,,,,,,1,2,2,1,1,1,2,2
4,High,Fronteras,Control,19,,,,,,,,,,,,1,2,2,1,2,1,4,5
4,High,Fronteras,Control,20,,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
4,High,Fronteras,Control,21,,,,,,,,,,,,1,1,2,2,5,1,5,5
4,High,Fronteras,Control,22,,,,,,,,,,,,1,1,1,2,2,sampled,sampled,sampled
4,High,Fronteras,Control,23,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Control,24,,,,,,,,,,,,0,1,1,0,2,1,2,2
4,High,Fronteras,Control,25,,,,,,,,,,,,1,1,1,1,2,1,1,2
4,High,Fronteras,Control,26,,,,,,,,,,,,1,1,2,2,2,1,2,2
4,High,Fronteras,Control,27,,,,,,,,,,,,1,1,2,2,2,1,3,3
4,High,Fronteras,Control,28,,,,,,,,,,,,0,1,1,0,1,1,2,5
4,High,Fronteras,Control,29,,,,,,,,,,,,0,1,1,0,1,1,4,5
4,High,Fronteras,Control,30,,,,,,,,,,,,1,1,1,0,1,1,2,4
1,High,Fronteras,Inoculated,1,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
1,High,Fronteras,Inoculated,2,,,,,,,,,,,,2,3,5,5,5,4,5,5
1,High,Fronteras,Inoculated,3,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Inoculated,4,,,,,,,,,,,,2,3,1,1,1,1,1,1
1,High,Fronteras,Inoculated,5,,,,,,,,,,,,2,3,3,3,3,1,5,5
1,High,Fronteras,Inoculated,6,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Inoculated,7,,,,,,,,,,,,2,3,2,3,4,1,3,3
1,High,Fronteras,Inoculated,8,,,,,,,,,,,,2,3,2,2,2,1,1,1
1,High,Fronteras,Inoculated,9,,,,,,,,,,,,5,4,5,5,5,4,5,5
1,High,Fronteras,Inoculated,10,,,,,,,,,,,,1,2,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Inoculated,11,,,,,,,,,,,,2,3,2,1,1,1,4,5
1,High,Fronteras,Inoculated,12,,,,,,,,,,,,2,3,2,4,2,1,2,1
1,High,Fronteras,Inoculated,13,,,,,,,,,,,,2,2,2,2,2,1,2,1
1,High,Fronteras,Inoculated,14,,,,,,,,,,,,2,2,2,1,2,sampled,sampled,sampled
1,High,Fronteras,Inoculated,15,,,,,,,,,,,,1,2,2,1,1,1,1,5
1,High,Fronteras,Inoculated,16,,,,,,,,,,,,2,2,2,2,2,1,1,1
1,High,Fronteras,Inoculated,17,,,,,,,,,,,,1,2,2,1,1,1,5,5
1,High,Fronteras,Inoculated,18,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Inoculated,19,,,,,,,,,,,,0,1,0,1,1,1,3,1
1,High,Fronteras,Inoculated,20,,,,,,,,,,,,1,1,1,1,0,1,5,5
1,High,Fronteras,Inoculated,21,,,,,,,,,,,,1,2,4,4,3,1,3,3
1,High,Fronteras,Inoculated,22,,,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
1,High,Fronteras,Inoculated,23,,,,,,,,,,,,0,1,1,1,2,1,1,0
1,High,Fronteras,Inoculated,24,,,,,,,,,,,,1,2,0,1,2,1,2,1
1,High,Fronteras,Inoculated,25,,,,,,,,,,,,0,1,0,1,1,1,1,0
1,High,Fronteras,Inoculated,26,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Fronteras,Inoculated,27,,,,,,,,,,,,2,3,1,1,1,1,1,0
1,High,Fronteras,Inoculated,28,,,,,,,,,,,,1,2,1,1,2,1,2,2
1,High,Fronteras,Inoculated,29,,,,,,,,,,,,1,2,1,1,1,1,2,5
1,High,Fronteras,Inoculated,30,,,,,,,,,,,,1,3,2,2,5,4,5,5
2,High,Fronteras,Inoculated,1,,,,,,,,,,,,5,4,5,5,5,4,5,5
2,High,Fronteras,Inoculated,2,,,,,,,,,,,,2,2,3,5,5,4,5,5
2,High,Fronteras,Inoculated,3,,,,,,,,,,,,2,3,2,4,3,1,3,2
2,High,Fronteras,Inoculated,4,,,,,,,,,,,,1,3,2,4,5,4,5,5
2,High,Fronteras,Inoculated,5,,,,,,,,,,,,1,2,5,5,5,4,5,5
2,High,Fronteras,Inoculated,6,,,,,,,,,,,,2,2,3,5,5,4,5,5
2,High,Fronteras,Inoculated,7,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Inoculated,8,,,,,,,,,,,,2,3,2,4,2,1,2,3
2,High,Fronteras,Inoculated,9,,,,,,,,,,,,2,2,2,4,5,4,5,5
2,High,Fronteras,Inoculated,10,,,,,,,,,,,,2,2,2,4,4,2,5,5
2,High,Fronteras,Inoculated,11,,,,,,,,,,,,2,2,2,5,5,sampled,sampled,sampled
2,High,Fronteras,Inoculated,12,,,,,,,,,,,,1,2,1,1,1,1,1,1
2,High,Fronteras,Inoculated,13,,,,,,,,,,,,2,2,5,5,5,4,5,5
2,High,Fronteras,Inoculated,14,,,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Inoculated,15,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Inoculated,16,,,,,,,,,,,,1,3,2,2,3,2,2,2
2,High,Fronteras,Inoculated,17,,,,,,,,,,,,1,2,2,5,5,4,5,5
2,High,Fronteras,Inoculated,18,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Inoculated,19,,,,,,,,,,,,1,3,2,5,5,4,5,5
2,High,Fronteras,Inoculated,20,,,,,,,,,,,,1,3,2,2,2,1,2,1
2,High,Fronteras,Inoculated,21,,,,,,,,,,,,5,4,5,5,5,4,5,5
2,High,Fronteras,Inoculated,22,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Fronteras,Inoculated,23,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
2,High,Fronteras,Inoculated,24,"out of ground, replaced",,,,,,,,,,,1,2,2,3,3,2,2,2
2,High,Fronteras,Inoculated,25,,,,,,,,,,,,2,2,5,5,5,4,5,5
2,High,Fronteras,Inoculated,26,,,,,,,,,,,,2,3,2,2,2,1,0,0
2,High,Fronteras,Inoculated,27,,,,,,,,,,,,2,3,4,5,5,4,5,5
2,High,Fronteras,Inoculated,28,,,,,,,,,,,,2,2,2,1,2,1,2,3
2,High,Fronteras,Inoculated,29,,,,,,,,,,,,4,4,5,5,5,4,5,5
2,High,Fronteras,Inoculated,30,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
3,High,Fronteras,Inoculated,1,,,,,,,,,,,,1,2,1,2,5,4,5,5
3,High,Fronteras,Inoculated,2,,,,,,,,,,,,1,2,2,2,1,1,4,5
3,High,Fronteras,Inoculated,3,,,,,,,,,,,,1,2,1,5,5,4,5,5
3,High,Fronteras,Inoculated,4,,,,,,,,,,,,0,1,1,1,1,1,2,4
3,High,Fronteras,Inoculated,5,,,,,,,,,,,,1,2,2,2,5,4,5,5
3,High,Fronteras,Inoculated,6,,,,,,,,,,,,1,2,1,2,2,1,5,5
3,High,Fronteras,Inoculated,7,,,,,,,,,,,,1,2,1,3,4,2,5,5
3,High,Fronteras,Inoculated,8,,,,,,,,,,,,1,1,0,2,1,1,4,5
3,High,Fronteras,Inoculated,9,,,,,,,,,,,,1,2,1,2,1,1,2,5
3,High,Fronteras,Inoculated,10,,,,,,,,,,,,1,2,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Inoculated,11,,,,,,,,,,,,1,2,2,4,5,4,5,5
3,High,Fronteras,Inoculated,12,,,,,,,,,,,,1,2,1,2,1,1,2,2
3,High,Fronteras,Inoculated,13,,,,,,,,,,,,2,2,2,2,2,1,2,5
3,High,Fronteras,Inoculated,14,,,,,,,,,,,,2,2,1,2,2,1,2,3
3,High,Fronteras,Inoculated,15,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Inoculated,16,,,,,,,,,,,,0,1,0,0,3,1,5,5
3,High,Fronteras,Inoculated,17,,,,,,,,,,,,5,4,5,5,5,4,5,5
3,High,Fronteras,Inoculated,18,,,,,,,,,,,,0,1,1,1,2,1,5,5
3,High,Fronteras,Inoculated,19,,,,,,,,,,,,1,2,2,2,2,1,2,2
3,High,Fronteras,Inoculated,20,,,,,,,,,,,,1,1,1,2,2,1,3,2
3,High,Fronteras,Inoculated,21,,,,,,,,,,,,1,2,4,5,5,4,5,5
3,High,Fronteras,Inoculated,22,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Inoculated,23,,,,,,,,,,,,1,2,3,2,3,1,3,2
3,High,Fronteras,Inoculated,24,,,,,,,,,,,,0,1,2,1,1,1,1,3
3,High,Fronteras,Inoculated,25,,,,,,,,,,,,3,2,5,5,5,4,5,5
3,High,Fronteras,Inoculated,26,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Inoculated,27,,,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Inoculated,28,,,,,,,,,,,,1,2,1,1,2,1,2,0
3,High,Fronteras,Inoculated,29,,,,,,,,,,,,3,3,5,5,5,4,5,5
3,High,Fronteras,Inoculated,30,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Inoculated,1,,,,,,,,,,,,0,1,1,2,0,1,1,2
4,High,Fronteras,Inoculated,2,,,,,,,,,,,,1,1,1,2,2,1,2,5
4,High,Fronteras,Inoculated,3,,,,,,,,,,,,1,1,2,3,2,1,5,5
4,High,Fronteras,Inoculated,4,,,,,,,,,,,,1,1,1,1,2,1,1,1
4,High,Fronteras,Inoculated,5,,,,,,,,,,,,1,1,1,5,5,1,5,5
4,High,Fronteras,Inoculated,6,,,,,,,,,,,,1,1,2,0,1,1,1,5
4,High,Fronteras,Inoculated,7,,,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Inoculated,8,,,,,,,,,,,,2,1,2,2,5,1,5,5
4,High,Fronteras,Inoculated,9,,,,,,,,,,,,1,1,1,1,1,1,1,1
4,High,Fronteras,Inoculated,10,,,,,,,,,,,,1,1,1,1,1,1,2,4
4,High,Fronteras,Inoculated,11,,,,,,,,,,,,1,1,sampled,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Inoculated,12,,,,,,,,,,,,1,1,1,1,1,1,1,4
4,High,Fronteras,Inoculated,13,,,,,,,,,,,,1,1,1,5,5,1,5,5
4,High,Fronteras,Inoculated,14,,,,,,,,,,,,1,1,1,0,1,sampled,sampled,sampled
4,High,Fronteras,Inoculated,15,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Inoculated,16,,,,,,,,,,,,1,1,1,0,2,1,5,5
4,High,Fronteras,Inoculated,17,,,,,,,,,,,,1,1,5,5,5,1,5,5
4,High,Fronteras,Inoculated,18,,,,,,,,,,,,1,1,1,1,2,1,2,5
4,High,Fronteras,Inoculated,19,,,,,,,,,,,,1,1,0,1,1,1,5,5
4,High,Fronteras,Inoculated,20,,,,,,,,,,,,1,1,0,1,1,1,1,1
4,High,Fronteras,Inoculated,21,,,,,,,,,,,,1,1,5,5,5,1,5,5
4,High,Fronteras,Inoculated,22,,,,,,,,,,,,1,1,1,1,2,1,2,3
4,High,Fronteras,Inoculated,23,,,,,,,,,,,,1,1,1,3,2,1,2,4
4,High,Fronteras,Inoculated,24,,,,,,,,,,,,0,1,0,0,1,1,1,0
4,High,Fronteras,Inoculated,25,,,,,,,,,,,,1,1,1,4,5,1,5,5
4,High,Fronteras,Inoculated,26,,,,,,,,,,,,1,1,1,2,0,1,4,5
4,High,Fronteras,Inoculated,27,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Inoculated,28,,,,,,,,,,,,0,1,0,3,0,1,2,4
4,High,Fronteras,Inoculated,29,,,,,,,,,,,,0,1,0,2,1,1,4,5
4,High,Fronteras,Inoculated,30,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Monterey,Control,1,,,,,,,,,,,,0,1,1,1,2,1,2,2
1,High,Monterey,Control,2,,,,,,,,,,,,5,4,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Monterey,Control,3,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Monterey,Control,4,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
1,High,Monterey,Control,5,,,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
1,High,Monterey,Control,6,,,,,dead,dead,dead,dead,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Monterey,Control,7,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Monterey,Control,8,,,,,,,,,,,,1,1,2,2,1,1,3,3
1,High,Monterey,Control,9,,,,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
1,High,Monterey,Control,10,,,,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
1,High,Monterey,Control,11,,,,,,,,,,,,5,4,5,5,5,4,5,5
1,High,Monterey,Control,12,,,,,,,,,,,,2,3,5,5,5,4,5,5
1,High,Monterey,Control,13,,,,,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
1,High,Monterey,Control,14,,,,,,,,,,,dead,5,4,5,5,5,4,5,5
1,High,Monterey,Control,15,,,,,,,,,,,,5,4,5,5,5,4,5,5
1,High,Monterey,Control,16,,,,,,,,,,,,0,1,0,0,0,1,5,5
1,High,Monterey,Control,17,,,,,,,,,,,,1,2,1,1,2,1,2,1
1,High,Monterey,Control,18,,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
1,High,Monterey,Control,19,,,,,,,,,,,,1,1,1,1,1,1,3,2
1,High,Monterey,Control,20,,,,,,,,,,,,1,2,2,2,2,1,3,3
1,High,Monterey,Control,21,,,,,,,,,,,,0,1,1,1,1,1,1,4
1,High,Monterey,Control,22,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
1,High,Monterey,Control,23,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
1,High,Monterey,Control,24,,,,,,,,,,,,2,3,5,5,5,4,5,5
1,High,Monterey,Control,25,,,,,,,,,,,,5,4,5,5,5,4,5,5
1,High,Monterey,Control,26,,,dead,dead,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Monterey,Control,27,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
1,High,Monterey,Control,28,,,,,,,,,,,,1,1,1,1,2,1,2,1
1,High,Monterey,Control,29,,,,,,,,,,,dead,5,4,5,5,5,4,5,5
