Block,Irrigation,Cultivar,Inoculum,Plant,29-Oct-19,5-Nov-19,19-Nov-19,3-Dec-19,16-Dec-19,14-Jan-20,27-Jan-20,11-Feb-20,25-Feb-20,9-Mar-20,24-Mar-20,14-Apr-20,28-Apr-20,12-May-20,26-May-20,9-Jun-20,23-Jun-20
3,High,Fronteras,Inoculated,18,,,,,,,,,,,,,0,1,3,3,2
3,High,Fronteras,Inoculated,19,,,,,,,,,,,,,2,2,3,4,5
3,High,Fronteras,Inoculated,20,,,,,,,,,,,,,0,1,3,3,4
3,High,Fronteras,Inoculated,21,,,,,,,,,,,,,2,3,4,5,5
3,High,Fronteras,Inoculated,22,,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Inoculated,23,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
3,High,Fronteras,Inoculated,24,,no green,,,,,,,,,,,0,2,2,1,2
3,High,Fronteras,Inoculated,25,,,,,,,,,,,,,0,2,3,5,5
3,High,Fronteras,Inoculated,26,,,,,,,,,,,,,2,2,3,2,2
3,High,Fronteras,Inoculated,27,,,,,,,,,,,,,0,2,2,2,3
3,High,Fronteras,Inoculated,28,,,,,,,,,,,,,0,2,2,2,3
3,High,Fronteras,Inoculated,29,,,,,,,,,,,,,0,2,3,5,sampled
3,High,Fronteras,Inoculated,30,,,,,,,,,,,,,0,2,2,2,2
4,High,Fronteras,Inoculated,1,,,,,,,,,,,,,0,0,2,4,5
4,High,Fronteras,Inoculated,2,out of hole,no green,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Inoculated,3,,,,,,,,,,,,,0,0,2,2,2
4,High,Fronteras,Inoculated,4,,,,,,,,,,,,,0,1,2,2,2
4,High,Fronteras,Inoculated,5,,,,,,,,,,,,,0,1,3,5,5
4,High,Fronteras,Inoculated,6,,,,,,,,,,,,,2,3,2,2,3
4,High,Fronteras,Inoculated,7,,,,,,,,,,,,,2,2,3,5,5
4,High,Fronteras,Inoculated,8,,,,,,,,,,,,,2,2,2,2,2
4,High,Fronteras,Inoculated,9,,,,,,,,,,,,,0,1,2,2,3
4,High,Fronteras,Inoculated,10,,,,,,,,,,,,,0,2,5,5,5
4,High,Fronteras,Inoculated,11,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Inoculated,12,,no green,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
4,High,Fronteras,Inoculated,13,,,,,,,,,,,,,0,0,1,2,3
4,High,Fronteras,Inoculated,14,,,,,,,,,,,,,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Inoculated,15,,,,,,,,,,,,,0,2,3,5,5
4,High,Fronteras,Inoculated,16,,,,,,,,,,,,,0,1,2,2,3
4,High,Fronteras,Inoculated,17,,,,,,,,,,,,,0,1,5,5,5
4,High,Fronteras,Inoculated,18,,,,,,,,,,,,,0,1,2,3,5
4,High,Fronteras,Inoculated,19,,,,,,,,,,,,,0,2,2,2,3
4,High,Fronteras,Inoculated,20,,,,,,,,,,,,,0,1,5,5,5
4,High,Fronteras,Inoculated,21,,,,,,,,,,,,,0,1,5,5,5
4,High,Fronteras,Inoculated,22,,,,,,,,,,,,,0,1,1,5,5
4,High,Fronteras,Inoculated,23,,no green,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
4,High,Fronteras,Inoculated,24,,,,,,,,,,,,,2,1,2,1,2
4,High,Fronteras,Inoculated,25,,,,,,,,,,,,,0,0,1,2,2
4,High,Fronteras,Inoculated,26,,,,,,,,,,,,,2,0,2,3,4
4,High,Fronteras,Inoculated,27,,,,,,,,,,,,,0,0,1,sampled,sampled
4,High,Fronteras,Inoculated,28,,,,,,,,,,,,,2,2,2,2,2
4,High,Fronteras,Inoculated,29,,,,,,,,,,,,,0,1,2,1,2
4,High,Fronteras,Inoculated,30,,,,,,,,,,,,,0,3,5,5,5
1,High,Monterey,Control,1,,,,,,,,,,,,,2,1,2,2,2
1,High,Monterey,Control,2,,,,,flower,,,,,,,,2,2,2,2,2
1,High,Monterey,Control,3,,,flower,flower,flower,,,,,,,,0,2,2,5,5
1,High,Monterey,Control,4,,,flower,flower,flower,,,,,,,,0,2,2,3,5
1,High,Monterey,Control,5,,,,,,,,,,,,,0,1,2,4,5
1,High,Monterey,Control,6,,,,,flower,,,,,,,,0,2,2,sampled,sampled
1,High,Monterey,Control,7,,,,,flower,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Monterey,Control,8,,no green,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
1,High,Monterey,Control,9,,,,,,,,,,,,,0,1,1,1,2
1,High,Monterey,Control,10,,,,,flower,,,,,,,,2,5,sampled,sampled,sampled
1,High,Monterey,Control,11,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
1,High,Monterey,Control,12,,,,,,,,,,,,,2,2,2,1,2
1,High,Monterey,Control,13,,,,flower,flower,,,,,,,,0,2,2,2,3
1,High,Monterey,Control,14,,,dead,dead,dead,dead,dead,dead,dead,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Monterey,Control,15,,,,,flower,,,,,,,,2,1,2,2,2
1,High,Monterey,Control,16,,,,,,,,,,,,,0,1,2,3,5
1,High,Monterey,Control,17,,,,,flower,,,,,,,,0,1,2,2,3
1,High,Monterey,Control,18,,,,sensor,,,,,,,,,0,2,5,5,5
1,High,Monterey,Control,19,,,,,,,,,,,,,0,2,2,3,5
1,High,Monterey,Control,20,,,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
1,High,Monterey,Control,21,,,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
1,High,Monterey,Control,22,,,,,,,,,,,,,2,2,2,2,2
1,High,Monterey,Control,23,,no green,"dead, sample",gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
1,High,Monterey,Control,24,,,,,flower,,,,,,,,0,1,2,2,5
1,High,Monterey,Control,25,,,,,,,,,,,,,0,1,1,1,2
1,High,Monterey,Control,26,,no green,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
1,High,Monterey,Control,27,,,,flower,flower,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
1,High,Monterey,Control,28,,,,,,,,,,,,,2,2,2,2,2
1,High,Monterey,Control,29,,,,,,,,,,,,,0,2,2,2,2
1,High,Monterey,Control,30,,,,,,,,,,,,,3,2,2,2,2
2,High,Monterey,Control,1,,,flower,flower,flower,,,,,,,,0,1,2,3,5
2,High,Monterey,Control,2,,,,,,,,,,,,,0,1,2,4,4
2,High,Monterey,Control,3,,,flower,flower,flower,,,,,,,,sampled,sampled,sampled,sampled,sampled
2,High,Monterey,Control,4,,,,,flower,,,,,,,,0,1,2,2,2
2,High,Monterey,Control,5,,,,,,,,,,,,,0,0,2,2,2
2,High,Monterey,Control,6,,,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Monterey,Control,7,,,,,flower,,,,,,,,2,2,3,2,2
2,High,Monterey,Control,8,,,flower,flower,flower,,,,,,,,3,3,5,5,5
2,High,Monterey,Control,9,,,,,,,,,,,,,0,0,1,1,2
2,High,Monterey,Control,10,,,,,,,,,,,,,3,5,5,5,sampled
2,High,Monterey,Control,11,,,,,,,,,,,,,0,2,3,2,2
2,High,Monterey,Control,12,,,,,,,,,,,,,2,1,2,2,2
2,High,Monterey,Control,13,,no green,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead
2,High,Monterey,Control,14,,,,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Monterey,Control,15,,no green,,"flower, sensor",flower,,,,,,,,0,2,2,1,5
2,High,Monterey,Control,16,,,,,,,,,,,,,2,1,2,1,2
2,High,Monterey,Control,17,,,,,flower,,,,,,,,0,2,1,2,5
2,High,Monterey,Control,18,,,flower,flower,flower,,,,,,,,0,1,1,1,2
2,High,Monterey,Control,19,,,flower,flower,flower,,,,,,,,2,2,1,2,2
2,High,Monterey,Control,20,,,,,,,,,,,,,2,1,2,1,2
2,High,Monterey,Control,21,,,,,flower,,,,,,,,2,2,1,1,2
2,High,Monterey,Control,22,,,,,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled,sampled
2,High,Monterey,Control,23,,,"flower, sample",gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone,gone
2,High,Monterey,Control,24,,,,,,,,,,,,,3,2,2,2,2
2,High,Monterey,Control,25,,,flower,flower,flower,,,,,,,,0,1,1,2,2
2,High,Monterey,Control,26,,,,,flower,,,,,,,,0,2,4,4,5
2,High,Monterey,Control,27,,,,,,,,,,,,,2,2,2,2,2
2,High,Monterey,Control,28,,,,,flower,,,,,,,,2,2,2,2,3
2,High,Monterey,Control,29,,,,,flower,,,,,,,,0,2,2,2,2
2,High,Monterey,Control,30,out of hole,,,flower,flower,,,,,,,,0,2,2,2,2
3,High,Monterey,Control,1,,,,,,,,,,,,,0,2,2,1,2
3,High,Monterey,Control,2,,,,flower,flower,,,,,,,,0,1,2,1,2
3,High,Monterey,Control,3,,,,,,,,,,,,,0,1,2,2,2
3,High,Monterey,Control,4,,,,flower,flower,,,,,,,,0,0,1,2,2
