Date,Plant,Rating,Inoculum
23-May-19,19,1,Full
23-May-19,20,0,Full
23-May-19,21,0,Full
23-May-19,22,1,Full
23-May-19,23,1,Control
23-May-19,24,0,Control
23-May-19,25,0,Half-strength
23-May-19,26,0,Half-strength
23-May-19,27,0,Half-strength
23-May-19,28,0,Half-strength
23-May-19,29,0,Half-strength
23-May-19,30,0,Half-strength
23-May-19,31,1,Half-strength
23-May-19,32,0,Half-strength
23-May-19,33,0,Full
23-May-19,34,0,Full
23-May-19,35,1,Control
23-May-19,36,0,Control
23-May-19,37,0,Control
23-May-19,38,1,Control
23-May-19,39,0,Half-strength
23-May-19,40,0,Half-strength
23-May-19,41,0,Control
23-May-19,42,0,Control
23-May-19,43,1,Half-strength
23-May-19,44,1,Half-strength
23-May-19,45,1,Full
23-May-19,46,0,Full
23-May-19,47,1,Control
23-May-19,48,0,Control
23-May-19,49,0,Control
23-May-19,50,0,Control
23-May-19,51,0,Full
23-May-19,52,0,Full
23-May-19,53,5,Full
23-May-19,54,5,Full
29-May-19,1,1,Half-strength
29-May-19,2,1,Half-strength
29-May-19,3,1,Half-strength
29-May-19,4,1,Half-strength
29-May-19,5,1,Full
29-May-19,6,0,Full
29-May-19,7,1,Half-strength
29-May-19,8,5,Half-strength
29-May-19,9,1,Control
29-May-19,10,1,Control
29-May-19,11,1,Control
29-May-19,12,1,Control
29-May-19,13,1,Full
29-May-19,14,3,Full
29-May-19,15,1,Full
29-May-19,16,1,Full
29-May-19,17,1,Control
29-May-19,18,1,Control
29-May-19,19,2,Full
29-May-19,20,1,Full
29-May-19,21,0,Full
29-May-19,22,1,Full
29-May-19,23,1,Control
29-May-19,24,1,Control
29-May-19,25,1,Half-strength
29-May-19,26,1,Half-strength
29-May-19,27,0,Half-strength
29-May-19,28,1,Half-strength
29-May-19,29,1,Half-strength
29-May-19,30,0,Half-strength
29-May-19,31,1,Half-strength
29-May-19,32,0,Half-strength
29-May-19,33,1,Full
29-May-19,34,0,Full
29-May-19,35,1,Control
29-May-19,36,1,Control
29-May-19,37,1,Control
29-May-19,38,1,Control
29-May-19,39,0,Half-strength
29-May-19,40,1,Half-strength
29-May-19,41,1,Control
29-May-19,42,0,Control
29-May-19,43,0,Half-strength
29-May-19,44,2,Half-strength
29-May-19,45,2,Full
29-May-19,46,1,Full
29-May-19,47,1,Control
29-May-19,48,1,Control
29-May-19,49,1,Control
29-May-19,50,0,Control
29-May-19,51,1,Full
29-May-19,52,0,Full
29-May-19,53,5,Full
29-May-19,54,5,Full
4-Jun-19,1,1,Half-strength
4-Jun-19,2,1,Half-strength
4-Jun-19,3,2,Half-strength
4-Jun-19,4,1,Half-strength
4-Jun-19,5,0,Full
4-Jun-19,6,2,Full
4-Jun-19,7,1,Half-strength
4-Jun-19,8,x,Half-strength
4-Jun-19,9,1,Control
4-Jun-19,10,1,Control
4-Jun-19,11,1,Control
4-Jun-19,12,1,Control
4-Jun-19,13,1,Full
4-Jun-19,14,4,Full
4-Jun-19,15,2,Full
4-Jun-19,16,1,Full
4-Jun-19,17,1,Control
4-Jun-19,18,1,Control
4-Jun-19,19,4,Full
4-Jun-19,20,1,Full
4-Jun-19,21,0,Full
4-Jun-19,22,1,Full
4-Jun-19,23,1,Control
4-Jun-19,24,1,Control
4-Jun-19,25,1,Half-strength
4-Jun-19,26,1,Half-strength
4-Jun-19,27,0,Half-strength
4-Jun-19,28,1,Half-strength
4-Jun-19,29,1,Half-strength
4-Jun-19,30,1,Half-strength
4-Jun-19,31,1,Half-strength
4-Jun-19,32,1,Half-strength
4-Jun-19,33,1,Full
4-Jun-19,34,4,Full
4-Jun-19,35,1,Control
4-Jun-19,36,1,Control
4-Jun-19,37,0,Control
4-Jun-19,38,1,Control
4-Jun-19,39,1,Half-strength
4-Jun-19,40,1,Half-strength
4-Jun-19,41,1,Control
4-Jun-19,42,0,Control
4-Jun-19,43,1,Half-strength
4-Jun-19,44,2,Half-strength
4-Jun-19,45,1,Full
4-Jun-19,46,1,Full
4-Jun-19,47,2,Control
4-Jun-19,48,1,Control
4-Jun-19,49,1,Control
4-Jun-19,50,0,Control
4-Jun-19,51,2,Full
4-Jun-19,52,1,Full
4-Jun-19,53,x,Full
4-Jun-19,54,x,Full
14-Jun-19,1,0,Half-strength
14-Jun-19,2,1,Half-strength
14-Jun-19,3,4,Half-strength
14-Jun-19,4,1,Half-strength
14-Jun-19,5,0,Full
14-Jun-19,6,4,Full
14-Jun-19,7,4,Half-strength
14-Jun-19,8,x,Half-strength
14-Jun-19,9,1,Control
14-Jun-19,10,1,Control
14-Jun-19,11,1,Control
14-Jun-19,12,1,Control
14-Jun-19,13,1,Full
14-Jun-19,14,5,Full
14-Jun-19,15,2,Full
14-Jun-19,16,3,Full
14-Jun-19,17,1,Control
14-Jun-19,18,2,Control
14-Jun-19,19,5,Full
14-Jun-19,20,1,Full
14-Jun-19,21,1,Full
14-Jun-19,22,1,Full
14-Jun-19,23,1,Control
14-Jun-19,24,1,Control
14-Jun-19,25,1,Half-strength
14-Jun-19,26,1,Half-strength
14-Jun-19,27,1,Half-strength
14-Jun-19,28,3,Half-strength
14-Jun-19,29,1,Half-strength
14-Jun-19,30,1,Half-strength
14-Jun-19,31,1,Half-strength
14-Jun-19,32,1,Half-strength
14-Jun-19,33,1,Full
14-Jun-19,34,5,Full
14-Jun-19,35,1,Control
14-Jun-19,36,1,Control
14-Jun-19,37,1,Control
14-Jun-19,38,1,Control
14-Jun-19,39,1,Half-strength
14-Jun-19,40,1,Half-strength
14-Jun-19,41,1,Control
14-Jun-19,42,1,Control
14-Jun-19,43,1,Half-strength
14-Jun-19,44,1,Half-strength
14-Jun-19,45,1,Full
14-Jun-19,46,1,Full
14-Jun-19,47,2,Control
14-Jun-19,48,1,Control
14-Jun-19,49,1,Control
14-Jun-19,50,0,Control
14-Jun-19,51,4,Full
14-Jun-19,52,4,Full
14-Jun-19,53,x,Full
14-Jun-19,54,x,Full
20-Jun-19,1,NA,Half-strength
20-Jun-19,2,2,Half-strength
20-Jun-19,3,5,Half-strength
20-Jun-19,4,2,Half-strength
20-Jun-19,5,1,Full
20-Jun-19,6,5,Full
20-Jun-19,7,5,Half-strength
20-Jun-19,8,x,Half-strength
20-Jun-19,9,1,Control
20-Jun-19,10,2,Control
20-Jun-19,11,0,Control
20-Jun-19,12,2,Control
20-Jun-19,13,2,Full
20-Jun-19,14,5,Full
20-Jun-19,15,3,Full
20-Jun-19,16,4,Full
20-Jun-19,17,2,Control
20-Jun-19,18,2,Control
20-Jun-19,19,5,Full
20-Jun-19,20,1,Full
20-Jun-19,21,1,Full
20-Jun-19,22,1,Full
20-Jun-19,23,2,Control
20-Jun-19,24,1,Control
20-Jun-19,25,1,Half-strength
20-Jun-19,26,2,Half-strength
20-Jun-19,27,1,Half-strength
20-Jun-19,28,5,Half-strength
20-Jun-19,29,2,Half-strength
20-Jun-19,30,2,Half-strength
20-Jun-19,31,1,Half-strength
20-Jun-19,32,2,Half-strength
20-Jun-19,33,1,Full
20-Jun-19,34,5,Full
20-Jun-19,35,2,Control
20-Jun-19,36,2,Control
20-Jun-19,37,1,Control
20-Jun-19,38,2,Control
20-Jun-19,39,3,Half-strength
20-Jun-19,40,4,Half-strength
20-Jun-19,41,2,Control
20-Jun-19,42,2,Control
20-Jun-19,43,2,Half-strength
20-Jun-19,44,2,Half-strength
20-Jun-19,45,1,Full
20-Jun-19,46,0,Full
20-Jun-19,47,2,Control
20-Jun-19,48,1,Control
20-Jun-19,49,2,Control
20-Jun-19,50,0,Control
20-Jun-19,51,5,Full
20-Jun-19,52,5,Full
20-Jun-19,53,x,Full
20-Jun-19,54,x,Full
9-Jul-19,1,5,Half-strength
9-Jul-19,2,3,Half-strength
9-Jul-19,3,5,Half-strength
9-Jul-19,4,5,Half-strength
9-Jul-19,5,3,Full
9-Jul-19,6,5,Full
9-Jul-19,7,5,Half-strength
9-Jul-19,8,x,Half-strength
9-Jul-19,9,1,Control
9-Jul-19,10,2,Control
9-Jul-19,11,0,Control
9-Jul-19,12,3,Control
9-Jul-19,13,3,Full
9-Jul-19,14,5,Full
9-Jul-19,15,5,Full
9-Jul-19,16,4,Full
9-Jul-19,17,2,Control
9-Jul-19,18,4,Control
9-Jul-19,19,5,Full
9-Jul-19,20,5,Full
9-Jul-19,21,5,Full
9-Jul-19,22,1,Full
9-Jul-19,23,1,Control
9-Jul-19,24,1,Control
9-Jul-19,25,1,Half-strength
9-Jul-19,26,4,Half-strength
9-Jul-19,27,0,Half-strength
9-Jul-19,28,5,Half-strength
9-Jul-19,29,1,Half-strength
9-Jul-19,30,1,Half-strength
9-Jul-19,31,3,Half-strength
9-Jul-19,32,5,Half-strength
9-Jul-19,33,1,Full
9-Jul-19,34,5,Full
9-Jul-19,35,4,Control
9-Jul-19,36,1,Control
9-Jul-19,37,NA,Control
9-Jul-19,38,1,Control
9-Jul-19,39,5,Half-strength
9-Jul-19,40,5,Half-strength
9-Jul-19,41,1,Control
9-Jul-19,42,1,Control
9-Jul-19,43,1,Half-strength
9-Jul-19,44,2,Half-strength
9-Jul-19,45,5,Full
9-Jul-19,46,0,Full
9-Jul-19,47,0,Control
9-Jul-19,48,3,Control
9-Jul-19,49,2,Control
9-Jul-19,50,0,Control
9-Jul-19,51,5,Full
9-Jul-19,52,5,Full
9-Jul-19,53,x,Full
9-Jul-19,54,x,Full
