date,eventlength_low,eventlength_opt,eventlength_high,flowmeter_low_before,flowmeter_low_after,deliver_low_gal,deliver_low_in,recommend_low_in,event_low_id,flowmeter_optimal_before,flowmeter_optimal_after,deliver_optimal_gal,deliver_optimal_in,recommend_optimal_in,flowmeter_high_before,flowmeter_high_after,deliver_high_gal,deliver_high_in,recommend_high_in
3/28/19,,,62,1430,1430,0,0.00,,,2950,2950,0,0.00,,3190,3320,130,0.29,0.25
3/30/19,,101,72,1430,1430,0,0.00,,,2950,3170,220,0.47,0.406,3320,3480,160,0.35,0.281
3/31/19,288,,42,1430,2040,610,1.34,1.14,4,3170,3170,0,0.00,,3480,3570,90,0.20,0.163
4/1/19,240,84,48,2040,2540,500,1.10,0.96,4,3170,3360,190,0.41,0.346,3570,3670,100,0.22,0.182
4/2/19,,,48,2540,2540,0,0.00,,,3360,3360,0,0.00,,3670,3770,100,0.22,0.185
4/3/19,,84,42,2540,2540,0,0.00,,,3360,3530,170,0.37,0.343,3770,3860,90,0.20,0.158
4/5/19,,,30,2540,2540,0,0.00,,,3530,3530,0,0.00,,3860,3930,70,0.15,0.127
4/6/19,,54,24,2540,2540,0,0.00,,,3530,3650,120,0.26,0.226,3930,3980,50,0.11,0.101
4/7/19,,,36,2540,2540,0,0.00,,,3650,3650,0,0.00,,3980,4060,80,0.18,0.146
4/8/19,,78,42,2540,2540,0,0.00,,,3650,3810,160,0.34,0.322,4060,4150,90,0.20,0.175
4/9/19,,,36,2540,2540,0,0.00,,,,,0,0.00,,4150,4220,70,0.15,0.139
4/10/19,300,78,42,2540,3090,550,1.21,1.198,5,3810,3995,185,0.40,0.317,4220,4350,130,0.29,0.178
4/11/19,300,,53,3090,3690,600,1.32,1.2,5,3995,3995,0,0.00,,4350,4480,130,0.29,0.206
4/12/19,,96,42,3690,3690,0,0.00,,,3995,4190,195,0.42,0.379,4480,4570,90,0.20,0.17
4/13/19,,,48,3690,3690,0,0.00,,,4190,4190,0,0.00,,4570,4680,110,0.24,0.182
4/14/19,,90,45,3690,3690,0,0.00,,,4190,4390,200,0.43,0.36,4680,4770,90,0.20,0.18
4/15/19,,,54,3690,3690,0,0.00,,,4390,4390,0,0.00,,4770,4900,130,0.29,0.204
4/16/19,,90,42,3690,3690,0,0.00,,,4390,4570,180,0.39,0.37,4900,4980,80,0.18,0.166
4/17/19,,,24,3690,3690,0,0.00,,,4570,4570,0,0.00,,4980,5030,50,0.11,0.089
4/18/19,,72,48,3690,3690,0,0.00,,,4570,4740,170,0.37,0.286,5030,5140,110,0.24,0.197
4/19/19,,,54,3690,3690,0,0.00,,,4740,4740,0,0.00,,5140,5260,120,0.26,0.218
4/20/19,390,102,48,3690,4460,770,1.69,1.591,6,4740,4880,140,0.30,0.41,5260,5330,70,0.15,0.19
4/21/19,240,,30,4460,4900,440,0.97,0.96,6,4880,4880,0,0.00,,5330,5400,70,0.15,0.19
4/22/19,,54,24,4900,4900,0,0.00,,,4880,5010,130,0.28,0.214,5400,5460,60,0.13,0.122
4/23/19,,,54,4900,4900,0,0.00,,,5010,5010,0,0.00,,5460,5610,150,0.33,0.204
4/24/19,,108,54,4900,4900,0,0.00,,,5010,5210,200,0.43,0.42,5610,5710,100,0.22,0.216
4/25/19,,,54,4900,4900,0,0.00,,,5210,5210,0,0.00,,5710,5830,120,0.26,0.216
4/26/19,,108,54,4900,4900,0,0.00,,,5210,5450,240,0.52,0.434,5830,5950,120,0.26,0.218
4/27/19,,,48,4900,4900,0,0.00,,,5450,5450,0,0.00,,5950,6070,120,0.26,0.199
4/29/19,240,134,84,4900,5290,390,0.86,0.96,7,5450,5630,180,0.39,0.535,6070,6330,260,0.57,0.336
4/30/19,240,,,5290,5700,410,0.90,0.96,7,5630,5630,0,0.00,,6330,6330,0,0.00,
5/1/19,,,24,5700,5700,0,0.00,,,5630,5630,0,0.00,,6330,6380,50,0.11,0.086
5/2/19,,78,54,5700,5700,0,0.00,,,5630,5810,180,0.39,0.31,6380,6510,130,0.29,0.226
5/3/19,,,48,5700,5700,0,0.00,,,5810,5810,0,0.00,,6510,6620,110,0.24,0.194
5/4/19,,108,60,5700,5700,0,0.00,,,5810,6010,200,0.43,0.42,6620,6730,110,0.24,0.228
5/6/19,180,30,30,5700,6060,360,0.79,0.72,8,6010,6080,70,0.15,0.12,6730,6800,70,0.15,0.12
5/8/19,180,60,60,6060,6490,430,0.94,0.72,8,6080,6210,130,0.28,0.24,6800,7000,200,0.44,0.24
5/11/19,,72,102,6490,6490,0,0.00,,,6210,6360,150,0.32,0.288,7000,7210,210,0.46,0.288
5/13/19,,108,108,6490,6490,0,0.00,,,6360,6580,220,0.47,0.427,7210,7430,220,0.48,0.427
5/14/19,,,48,6490,6490,0,0.00,,,6580,6580,0,0.00,,7430,7540,110,0.24,0.192
5/15/19,60,60,60,6490,6640,150,0.33,0.24,9,6580,6730,150,0.32,0.24,7540,7700,160,0.35,0.24
5/17/19,210,,,6640,7060,420,0.92,0.84,9,6730,6730,0,0.00,,7700,7700,0,0.00,
5/18/19,,40,40,7060,7060,0,0.00,,,6730,6840,110,0.24,0.168,7700,7810,110,0.24,0.168
5/21/19,,72,72,7060,7060,0,0.00,,,6840,7020,180,0.39,0.298,7810,7990,180,0.39,0.298
5/22/19,,,54,7060,7060,0,0.00,,,7020,7020,0,0.00,,7990,8100,110,0.24,0.209
5/24/19,,180,120,7060,7060,0,0.00,,,7020,7420,400,0.86,0.72,8100,8360,260,0.57,0.48
5/28/19,90,90,90,7060,7330,270,0.59,0.48,10,7420,7690,270,0.58,0.48,8360,8630,270,0.59,0.48
5/29/19,240,,66,7330,7770,440,0.97,0.96,10,7690,7690,0,0.00,,8630,8770,140,0.31,0.264
5/30/19,240,180,60,7770,8280,510,1.12,0.96,10,7690,8080,390,0.84,0.72,8770,8870,100,0.22,0.24
5/31/19,,,60,8280,8280,0,0.00,,,8080,8080,0,0.00,,8870,9030,160,0.35,0.25
6/1/19,,120,120,8280,8280,0,0.00,,,8080,8330,250,0.54,0.478,9030,9270,240,0.53,0.48
6/4/19,,60,60,8280,8280,0,0.00,,,8330,8460,130,0.28,0.24,9270,9410,140,0.31,0.24
6/5/19,,48,48,8280,8280,0,0.00,,,8460,8570,110,0.24,0.192,9410,9510,100,0.22,0.192
6/6/19,270,,60,8280,8950,670,1.47,1.068,11,8570,8570,0,0.00,,9510,9630,120,0.26,0.23
6/7/19,,120,60,8950,8950,0,0.00,,,8570,8830,260,0.56,0.47,9630,9760,130,0.29,0.242
6/9/19,,90,90,8950,8950,0,0.00,,,8830,9020,190,0.41,0.365,9760,9950,190,0.42,0.365
6/10/19,60,60,60,8950,9060,110,0.24,0.24,12,9020,9140,120,0.26,0.24,9950,10070,120,0.26,0.24
6/11/19,300,72,72,9060,9710,650,1.43,1.2,12,9140,9310,170,0.37,0.293,10070,10230,160,0.35,0.293
6/12/19,,,78,9710,9710,0,0.00,,,9310,9310,0,0.00,,10230,10390,160,0.35,0.305
6/13/19,,150,72,9710,9710,0,0.00,,,9310,9640,330,0.71,0.6,10390,10540,150,0.33,0.293
6/14/19,,,48,9710,9710,0,0.00,,,9640,9640,0,0.00,,10540,10650,110,0.24,0.197
6/15/19,90,,90,9710,9950,240,0.53,0.91,13,9640,9640,0,0.00,,10650,10900,250,0.55,0.161
6/17/19,,156,66,9950,9950,0,0.00,,,9640,10010,370,0.80,0.619,10900,11060,160,0.35,0.264
6/19/19,,36,36,9950,9950,0,0.00,,,10010,10090,80,0.17,0.137,11060,11130,70,0.15,0.137
6/20/19,,,66,9950,9950,0,0.00,,,10090,10090,0,0.00,,11130,11340,210,0.46,0.259
6/22/19,,138,72,9950,9950,0,0.00,,,10090,10420,330,0.71,0.547,11340,11480,140,0.31,0.298
6/23/19,300,132,132,9950,10530,580,1.27,1.2,14,10420,10790,370,0.80,0.48,11480,11870,390,0.86,0.48
