Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
75,Irvine,South Coast Valleys,10/18/2018,291,4.06, ,0.00, ,225,R,0.9, ,30.2, ,10.1, ,20.1, ,84, ,19, ,38, ,5.4, ,1.4, ,123.5, ,18.5, 
75,Irvine,South Coast Valleys,10/19/2018,292,4.46, ,0.00, ,226,R,0.7, ,32.5, ,12.9, ,23.4, ,56, ,13, ,25, ,2.3, ,1.5, ,132.9, ,18.6, 
75,Irvine,South Coast Valleys,10/20/2018,293,4.12, ,0.00, ,222,R,0.8, ,30.8, ,13.3, ,22.0, ,55, ,17, ,32, ,4.4, ,1.3, ,116.3, ,18.7, 
75,Irvine,South Coast Valleys,10/21/2018,294,3.63, ,0.00, ,216,R,1.3, ,26.8, ,12.3, ,19.4, ,93, ,30, ,57, ,10.6, ,1.4, ,120.5, ,18.7, 
75,Irvine,South Coast Valleys,10/22/2018,295,2.92, ,0.00, ,194, ,1.6, ,23.9, ,14.8, ,18.2, ,93, ,53, ,77, ,14.2, ,1.4, ,120.3, ,19.2, 
75,Irvine,South Coast Valleys,10/23/2018,296,3.05, ,0.00, ,201, ,1.7, ,23.9, ,14.3, ,18.4, ,96, ,63, ,81, ,15.0, ,1.4, ,122.9, ,19.5, 
75,Irvine,South Coast Valleys,10/24/2018,297,2.86, ,0.10, ,194, ,1.7, ,25.4, ,14.1, ,18.4, ,99, ,59, ,83, ,15.4, ,1.3, ,114.9, ,19.6, 
75,Irvine,South Coast Valleys,10/25/2018,298,2.61, ,0.10, ,177, ,1.7, ,26.0, ,13.6, ,18.0, ,100, ,51, ,83, ,15.0, ,1.3, ,108.5, ,19.8, 
75,Irvine,South Coast Valleys,10/26/2018,299,3.26, ,0.00, ,206,R,1.6, ,28.8, ,12.3, ,19.5, ,94, ,43, ,69, ,13.7, ,1.3, ,109.6, ,19.7, 
75,Irvine,South Coast Valleys,10/27/2018,300,3.24, ,0.00, ,206,R,1.5, ,28.6, ,11.2, ,18.8, ,97, ,41, ,69, ,13.1, ,1.2, ,107.0, ,19.6, 
75,Irvine,South Coast Valleys,10/28/2018,301,2.20, ,0.30, ,146, ,1.6, ,25.6, ,12.1, ,17.2, ,100, ,49, ,83, ,14.2, ,1.1, ,97.4, ,19.6, 
75,Irvine,South Coast Valleys,10/29/2018,302,2.56, ,0.20, ,178, ,1.6, ,23.5, ,12.2, ,17.1, ,100, ,59, ,84, ,14.3, ,1.6, ,137.6, ,19.5, 
75,Irvine,South Coast Valleys,10/30/2018,303,2.76, ,0.00, ,189, ,1.6, ,23.0, ,13.5, ,17.7, ,93, ,59, ,77, ,13.6, ,1.4, ,122.2, ,19.7, 
75,Irvine,South Coast Valleys,10/31/2018,304,3.21, ,0.10, ,196,R,1.2, ,25.7, ,13.1, ,18.1, ,99, ,24, ,59, ,9.9, ,1.6, ,142.0, ,19.3, 
75,Irvine,South Coast Valleys,11/1/2018,305,3.50, ,0.00, ,178, ,0.9, ,29.9, ,10.8, ,19.0, ,60, ,21, ,40, ,5.2, ,1.5, ,127.1, ,18.7, 
75,Irvine,South Coast Valleys,11/2/2018,306,3.59, ,0.00, ,197,R,0.9, ,31.4, ,11.5, ,21.0, ,63, ,21, ,38, ,6.1, ,1.4, ,121.9, ,18.4, 
75,Irvine,South Coast Valleys,11/3/2018,307,3.42, ,0.00, ,190, ,1.0, ,29.1, ,10.5, ,20.5, ,71, ,24, ,41, ,6.6, ,1.3, ,116.5, ,18.3, 
75,Irvine,South Coast Valleys,11/4/2018,308,2.73, ,0.00, ,159, ,1.1, ,28.0, ,11.3, ,18.9, ,79, ,29, ,50, ,8.2, ,1.2, ,100.0, ,18.3, 
75,Irvine,South Coast Valleys,11/5/2018,309,2.58, ,0.10, ,177, ,1.5, ,24.8, ,11.0, ,17.0, ,99, ,50, ,77, ,12.9, ,1.7, ,147.1, ,18.2, 
75,Irvine,South Coast Valleys,11/6/2018,310,2.65, ,0.10, ,180, ,1.5, ,23.1, ,14.6, ,18.1, ,88, ,53, ,73, ,13.2, ,1.4, ,124.1, ,18.6, 
75,Irvine,South Coast Valleys,11/7/2018,311,2.19, ,0.60, ,148, ,1.5, ,22.6, ,13.8, ,17.3, ,93, ,58, ,78, ,13.4, ,1.4, ,121.6, ,18.8, 
75,Irvine,South Coast Valleys,11/8/2018,312,3.98, ,0.00, ,176, ,1.0, ,26.2, ,14.6, ,19.9, ,86, ,7, ,43, ,7.0, ,2.7,Y,229.0,Y,18.7, 
75,Irvine,South Coast Valleys,11/9/2018,313,4.79, ,0.00, ,197,R,0.2,Y,27.6, ,14.4, ,21.9, ,13, ,5, ,7,Y,-15.3,Y,3.1,R,271.0,R,17.4, 
75,Irvine,South Coast Valleys,11/10/2018,314,3.32, ,0.00, ,183,R,0.4, ,25.4, ,8.4, ,17.0, ,46, ,13, ,20, ,-5.9, ,1.4, ,116.7, ,16.5, 
75,Irvine,South Coast Valleys,11/11/2018,315,3.68, ,0.00, ,181,R,0.4, ,25.8, ,6.7, ,17.6, ,62, ,4, ,20, ,-5.5, ,2.1, ,184.7, ,15.8, 
75,Irvine,South Coast Valleys,11/12/2018,316,3.68, ,0.00, ,189,R,0.2,Y,25.8, ,9.3, ,20.1, ,25, ,5, ,7,Y,-15.9,Y,2.1, ,183.2, ,15.1, 
75,Irvine,South Coast Valleys,11/13/2018,317,3.65, ,0.00, ,170, ,0.3,Y,26.0, ,5.3, ,18.7, ,45, ,7, ,12,Y,-11.5,Y,1.9, ,165.0, ,14.7, 
75,Irvine,South Coast Valleys,11/14/2018,318,3.57, ,0.10, ,178,R,0.3,Y,27.9, ,11.9, ,19.0, ,31, ,7, ,15,Y,-8.6,Y,1.5, ,133.0, ,14.7, 
75,Irvine,South Coast Valleys,11/15/2018,319,3.30, ,0.00, ,159, ,0.5, ,27.0, ,7.2, ,17.4, ,53, ,10, ,24, ,-3.5, ,1.5, ,127.4, ,14.5, 
75,Irvine,South Coast Valleys,11/16/2018,320,2.88, ,0.00, ,165, ,0.7, ,24.7, ,9.5, ,16.1, ,64, ,20, ,36, ,0.9, ,1.2, ,99.4, ,14.6, 
75,Irvine,South Coast Valleys,11/17/2018,321,2.27, ,0.00, ,163, ,1.1, ,21.9, ,7.9, ,14.8, ,94, ,39, ,67, ,8.8, ,1.1, ,97.6, ,14.6, 
75,Irvine,South Coast Valleys,11/18/2018,322,2.33, ,0.00, ,165, ,1.2, ,23.0, ,8.6, ,15.4, ,89, ,39, ,67, ,9.4, ,1.2, ,107.7, ,14.9, 
75,Irvine,South Coast Valleys,11/19/2018,323,1.42, ,0.00, ,95, ,1.1, ,21.2, ,8.6, ,14.5, ,90, ,47, ,69, ,8.9, ,1.1, ,96.9, ,15.0, 
75,Irvine,South Coast Valleys,11/20/2018,324,2.20, ,0.00, ,152, ,1.2, ,22.4, ,8.8, ,14.7, ,86, ,44, ,69, ,9.0, ,1.2, ,101.6, ,14.9, 
75,Irvine,South Coast Valleys,11/21/2018,325,2.16, ,0.00, ,146, ,1.2, ,22.5, ,9.3, ,15.6, ,92, ,44, ,68, ,9.6, ,1.2, ,103.5, ,14.9, 
75,Irvine,South Coast Valleys,11/22/2018,326,1.79, ,5.70, ,138, ,1.5, ,19.9, ,12.1, ,15.5, ,97, ,63, ,83, ,12.5, ,1.5, ,130.0, ,15.5, 
75,Irvine,South Coast Valleys,11/23/2018,327,1.49, ,0.20, ,120, ,1.3, ,19.7, ,10.7, ,14.9, ,94, ,64, ,79, ,11.3, ,1.4, ,122.2, ,15.5, 
75,Irvine,South Coast Valleys,11/24/2018,328,1.70, ,0.00, ,127, ,1.4, ,22.1, ,12.0, ,15.8, ,95, ,58, ,80, ,12.4, ,1.4, ,119.3, ,15.6, 
75,Irvine,South Coast Valleys,11/25/2018,329,2.09, ,0.10, ,150, ,1.4, ,23.8, ,10.4, ,15.9, ,96, ,43, ,76, ,11.7, ,1.2, ,107.1, ,15.6, 
75,Irvine,South Coast Valleys,11/26/2018,330,2.72, ,0.00, ,160, ,0.9, ,24.9, ,11.0, ,18.0, ,60, ,29, ,41, ,4.6, ,1.6, ,134.8, ,15.5, 
75,Irvine,South Coast Valleys,11/27/2018,331,2.38, ,0.00, ,146, ,0.8, ,24.4, ,8.3, ,15.8, ,71, ,27, ,46, ,4.3, ,1.2, ,107.1, ,15.1, 
75,Irvine,South Coast Valleys,11/28/2018,332,2.19, ,0.20, ,152, ,1.2, ,19.9, ,9.1, ,15.1, ,87, ,56, ,70, ,9.7, ,2.2, ,192.8, ,15.0, 
75,Irvine,South Coast Valleys,11/29/2018,333,0.58, ,27.70, ,58, ,1.5, ,17.6, ,12.4, ,14.5, ,97, ,71, ,88, ,12.6, ,2.3, ,198.3, ,15.3, 
75,Irvine,South Coast Valleys,11/30/2018,334,1.88, ,4.20,H,147, ,1.2, ,18.7, ,9.7, ,14.3, ,96, ,57, ,77, ,10.2, ,1.4, ,120.7, ,15.3, 
75,Irvine,South Coast Valleys,12/1/2018,335,1.90, ,0.00, ,145, ,1.1, ,18.6, ,8.7, ,13.2, ,88, ,52, ,74, ,8.6, ,1.5, ,125.8, ,15.0, 
75,Irvine,South Coast Valleys,12/2/2018,336,1.94, ,0.00, ,160,R,0.9, ,17.5, ,6.1, ,11.6, ,93, ,35, ,65, ,5.3, ,1.2, ,102.4, ,14.6, 
75,Irvine,South Coast Valleys,12/3/2018,337,2.01, ,0.00, ,151, ,0.8, ,19.4, ,7.6, ,12.7, ,77, ,33, ,54, ,3.7, ,1.2, ,102.8, ,14.1, 
75,Irvine,South Coast Valleys,12/4/2018,338,2.17, ,0.00, ,147, ,0.7, ,21.7, ,7.6, ,13.3, ,64, ,24, ,43, ,1.1, ,1.2, ,100.4, ,13.8, 
75,Irvine,South Coast Valleys,12/5/2018,339,0.24, ,0.90, ,20, ,1.1, ,13.9, ,8.9, ,11.5, ,96, ,50, ,78, ,7.8, ,1.0, ,90.6, ,13.6, 
75,Irvine,South Coast Valleys,12/6/2018,340,0.22, ,35.20,H,10, ,1.3, ,15.6, ,11.1, ,13.6, ,96, ,72, ,85, ,11.2, ,2.3, ,196.6, ,13.8, 
75,Irvine,South Coast Valleys,12/7/2018,341,2.00, ,0.30, ,148, ,1.2, ,21.3, ,10.5, ,14.8, ,97, ,44, ,69, ,9.2, ,1.3, ,112.3, ,13.8, 
75,Irvine,South Coast Valleys,12/8/2018,342,1.94, ,0.00, ,152, ,1.2, ,20.9, ,8.5, ,14.2, ,91, ,50, ,72, ,9.2, ,1.1, ,94.1, ,13.8, 
75,Irvine,South Coast Valleys,12/9/2018,343,1.63, ,0.00, ,124, ,1.2, ,22.3, ,9.4, ,14.3, ,88, ,44, ,73, ,9.5, ,1.1, ,92.1, ,13.8, 
75,Irvine,South Coast Valleys,12/10/2018,344,1.04, ,0.00, ,80, ,1.2, ,20.0, ,10.4, ,14.2, ,90, ,54, ,76, ,10.0, ,1.1, ,91.8, ,14.0, 
75,Irvine,South Coast Valleys,12/11/2018,345,1.77, ,0.00, ,140, ,1.3, ,20.2, ,9.7, ,13.8, ,95, ,56, ,79, ,10.3, ,1.2, ,102.3, ,14.2, 
75,Irvine,South Coast Valleys,12/12/2018,346,1.76, ,0.00, ,138, ,1.2, ,19.4, ,7.7, ,12.9, ,95, ,64, ,83, ,10.1, ,1.5, ,126.8, ,14.0, 
75,Irvine,South Coast Valleys,12/13/2018,347,2.13, ,0.10, ,154,R,0.8, ,24.8, ,6.4, ,14.8, ,94, ,23, ,50, ,4.4, ,1.1, ,96.4, ,13.8, 
75,Irvine,South Coast Valleys,12/14/2018,348,1.14, ,0.00, ,59, ,0.8, ,19.2, ,9.9, ,13.8, ,64, ,36, ,51, ,3.9, ,0.9, ,80.1, ,13.6, 
75,Irvine,South Coast Valleys,12/15/2018,349,2.05, ,0.00, ,152, ,0.8, ,22.3, ,5.6, ,13.9, ,85, ,26, ,52, ,4.1, ,1.2, ,103.7, ,13.5, 
75,Irvine,South Coast Valleys,12/16/2018,350,1.86, ,0.00, ,146, ,1.2, ,21.1, ,7.3, ,13.5, ,95, ,48, ,76, ,9.3, ,1.2, ,100.1, ,13.3, 
75,Irvine,South Coast Valleys,12/17/2018,351,1.54, ,1.00, ,123, ,1.4, ,19.2, ,11.1, ,14.7, ,98, ,61, ,83, ,11.9, ,1.2, ,102.1, ,13.8, 
75,Irvine,South Coast Valleys,12/18/2018,352,1.72, ,0.10, ,139, ,1.3, ,19.5, ,10.0, ,13.8, ,98, ,58, ,84, ,11.2, ,1.2, ,101.5, ,14.2, 
75,Irvine,South Coast Valleys,12/19/2018,353,1.93, ,0.20, ,151, ,1.2, ,23.2, ,8.5, ,14.3, ,98, ,40, ,75, ,9.9, ,1.2, ,103.6, ,14.0, 
75,Irvine,South Coast Valleys,12/20/2018,354,1.95, ,0.00, ,148, ,1.1, ,25.2, ,8.1, ,14.5, ,90, ,36, ,67, ,8.5, ,1.1, ,92.4, ,13.8, 
75,Irvine,South Coast Valleys,12/21/2018,355,1.14, ,0.10, ,88, ,1.2, ,21.2, ,9.4, ,13.7, ,97, ,48, ,78, ,9.9, ,1.1, ,98.8, ,13.9, 
75,Irvine,South Coast Valleys,12/22/2018,356,1.73, ,0.00, ,140, ,1.2, ,21.2, ,7.2, ,13.0, ,97, ,47, ,79, ,9.4, ,1.1, ,97.5, ,13.7, 
75,Irvine,South Coast Valleys,12/23/2018,357,0.82, ,0.30, ,89, ,1.3, ,18.7, ,7.4, ,11.9, ,99, ,64, ,91, ,10.5, ,1.0, ,89.1, ,13.9, 
75,Irvine,South Coast Valleys,12/24/2018,358,1.28, ,0.90, ,114, ,1.3, ,18.7, ,8.6, ,12.6, ,99, ,61, ,88, ,10.7, ,1.4, ,119.3, ,13.9, 
75,Irvine,South Coast Valleys,12/25/2018,359,1.46, ,1.20, ,116, ,1.2, ,18.3, ,8.8, ,13.4, ,96, ,51, ,77, ,9.5, ,1.6, ,136.3, ,14.1, 
75,Irvine,South Coast Valleys,12/26/2018,360,1.81, ,0.00, ,147, ,1.1, ,18.5, ,7.5, ,12.3, ,94, ,51, ,76, ,8.2, ,1.2, ,103.2, ,13.7, 
75,Irvine,South Coast Valleys,12/27/2018,361,1.84, ,0.00, ,133, ,1.0, ,18.0, ,7.6, ,12.3, ,98, ,19, ,68, ,6.5, ,1.7, ,143.4, ,13.3, 
75,Irvine,South Coast Valleys,12/28/2018,362,2.98, ,0.00, ,157,R,0.3, ,15.6, ,10.5, ,12.6, ,23, ,15, ,19, ,-10.6, ,3.0, ,255.8, ,12.6, 
75,Irvine,South Coast Valleys,12/29/2018,363,2.84, ,0.00, ,155,R,0.4, ,19.5, ,7.3, ,12.7, ,53, ,11, ,25, ,-6.7, ,2.5, ,219.3, ,11.7, 
75,Irvine,South Coast Valleys,12/30/2018,364,1.92, ,0.00, ,151, ,0.8, ,18.1, ,5.2, ,11.6, ,84, ,34, ,56, ,3.2, ,1.6, ,134.9, ,11.5, 
75,Irvine,South Coast Valleys,12/31/2018,365,1.69, ,0.00, ,92, ,0.7, ,16.5, ,8.4, ,12.6, ,97, ,14, ,48, ,1.9, ,2.5, ,212.8, ,11.8, 
75,Irvine,South Coast Valleys,1/1/2019,001,3.12, ,0.00, ,163,R,0.2, ,15.6, ,6.8, ,11.5, ,17, ,11, ,14, ,-15.2, ,3.4,Y,293.0,Y,11.0, 
75,Irvine,South Coast Valleys,1/2/2019,002,2.26, ,0.00, ,156,R,0.4, ,17.7, ,1.0, ,10.9, ,65, ,10, ,33, ,-4.6, ,1.7, ,150.5, ,10.5, 
75,Irvine,South Coast Valleys,1/3/2019,003,2.01, ,0.00, ,159,R,0.6, ,19.5, ,4.3, ,10.8, ,68, ,30, ,46, ,-0.4, ,1.2, ,106.7, ,10.3, 
75,Irvine,South Coast Valleys,1/4/2019,004,1.91, ,0.00, ,157,R,0.8, ,18.6, ,2.5, ,10.6, ,87, ,40, ,64, ,4.0, ,1.2, ,101.6, ,10.4, 
75,Irvine,South Coast Valleys,1/5/2019,005,0.60, ,2.20, ,34, ,0.9, ,14.6, ,7.2, ,11.2, ,94, ,54, ,71, ,6.1, ,1.6, ,140.6, ,10.6, 
75,Irvine,South Coast Valleys,1/6/2019,006,1.49, ,4.10, ,125, ,1.1, ,16.4, ,8.5, ,11.5, ,99, ,54, ,82, ,8.5, ,1.3, ,109.3, ,11.2, 
75,Irvine,South Coast Valleys,1/7/2019,007,1.37, ,0.10, ,112, ,1.1, ,18.2, ,9.1, ,13.2, ,93, ,59, ,75, ,8.9, ,1.2, ,104.5, ,11.7, 
75,Irvine,South Coast Valleys,1/8/2019,008,2.12, ,0.00, ,142, ,1.0, ,22.7, ,7.7, ,14.0, ,97, ,34, ,65, ,7.5, ,1.2, ,105.0, ,11.9, 
75,Irvine,South Coast Valleys,1/9/2019,009,1.95, ,0.00, ,156, ,1.1, ,20.1, ,7.2, ,13.0, ,91, ,50, ,75, ,8.6, ,1.3, ,111.4, ,11.9, 
75,Irvine,South Coast Valleys,1/10/2019,010,1.71, ,0.00, ,142, ,1.2, ,19.1, ,8.2, ,12.7, ,98, ,61, ,84, ,10.1, ,1.2, ,102.3, ,12.1, 
75,Irvine,South Coast Valleys,1/11/2019,011,1.15, ,0.00, ,101, ,1.2, ,17.7, ,8.3, ,11.7, ,99, ,64, ,87, ,9.7, ,1.2, ,103.6, ,12.6, 
75,Irvine,South Coast Valleys,1/12/2019,012,1.09, ,1.50,H,101, ,1.2, ,16.8, ,8.8, ,12.2, ,96, ,66, ,84, ,9.6, ,1.6, ,136.0, ,12.7, 
75,Irvine,South Coast Valleys,1/13/2019,013,1.52, ,0.90,H,122, ,1.0, ,17.1, ,7.4, ,12.0, ,92, ,54, ,74, ,7.6, ,1.2, ,99.4, ,12.5, 
75,Irvine,South Coast Valleys,1/14/2019,014,0.33, ,25.50, ,23, ,1.1, ,15.2, ,9.1, ,12.2, ,98, ,51, ,81, ,8.9, ,1.6, ,133.9, ,12.4, 
75,Irvine,South Coast Valleys,1/15/2019,015,0.89, ,21.20, ,65, ,1.2, ,16.5, ,11.2, ,13.1, ,95, ,56, ,81, ,10.0, ,2.5, ,217.6, ,12.6, 
75,Irvine,South Coast Valleys,1/16/2019,016,0.74, ,23.10, ,66, ,1.5, ,16.9, ,13.2, ,14.8, ,98, ,76, ,91, ,13.4, ,2.7, ,230.9, ,13.0, 
75,Irvine,South Coast Valleys,1/17/2019,017,0.00, ,15.50, ,18, ,1.7,Y,16.1, ,11.5, ,14.9, ,98, ,95, ,97,Y,14.5,Y,2.2, ,186.0, ,13.6, 
75,Irvine,South Coast Valleys,1/18/2019,018,1.36, ,0.10, ,111, ,1.4, ,18.7, ,10.0, ,14.0, ,98, ,70, ,87, ,11.9, ,1.2, ,106.4, ,13.8, 
75,Irvine,South Coast Valleys,1/19/2019,019,2.36, ,0.10, ,169,R,1.2, ,24.7, ,8.5, ,15.5, ,95, ,39, ,67, ,9.3, ,1.2, ,100.7, ,13.6, 
75,Irvine,South Coast Valleys,1/20/2019,020,2.05, ,0.00, ,132, ,1.2, ,23.7, ,11.3, ,16.0, ,94, ,40, ,67, ,9.9, ,1.3, ,108.9, ,13.6, 
75,Irvine,South Coast Valleys,1/21/2019,021,2.83, ,0.00, ,176,R,0.8, ,17.3, ,6.3, ,12.8, ,87, ,27, ,57, ,4.5, ,2.5, ,219.5, ,13.6, 
75,Irvine,South Coast Valleys,1/22/2019,022,3.37, ,0.00, ,181,R,0.3, ,19.9, ,4.2, ,14.1, ,79, ,9, ,21, ,-8.1, ,2.7, ,229.3, ,12.5, 
75,Irvine,South Coast Valleys,1/23/2019,023,2.68, ,0.00, ,177,R,0.5, ,19.9, ,6.6, ,13.4, ,64, ,11, ,31, ,-3.4, ,1.5, ,126.7, ,11.9, 
75,Irvine,South Coast Valleys,1/24/2019,024,2.85, ,0.00, ,170, ,0.6, ,25.6, ,6.6, ,15.9, ,61, ,20, ,34, ,0.3, ,1.5, ,127.8, ,11.8, 
75,Irvine,South Coast Valleys,1/25/2019,025,3.00, ,0.00, ,180,R,0.5, ,25.9, ,9.7, ,18.5, ,46, ,15, ,24, ,-2.2, ,1.7, ,149.1, ,12.0, 
75,Irvine,South Coast Valleys,1/26/2019,026,3.95, ,0.00, ,176, ,0.4, ,28.5,Y,12.8, ,21.2,Y,38, ,10, ,18,Y,-4.2,Y,2.1, ,182.7, ,12.3, 
75,Irvine,South Coast Valleys,1/27/2019,027,2.66, ,0.00, ,179,R,0.6, ,24.6, ,10.4, ,16.3, ,52, ,20, ,35, ,0.8, ,1.1, ,98.4, ,12.4, 
75,Irvine,South Coast Valleys,1/28/2019,028,2.24, ,0.00, ,146, ,0.9, ,23.9, ,6.8, ,15.1, ,85, ,28, ,50, ,4.8, ,1.1, ,91.8, ,12.5, 
75,Irvine,South Coast Valleys,1/29/2019,029,2.19, ,0.00, ,153, ,1.2, ,21.8, ,10.4, ,15.5, ,88, ,43, ,66, ,9.3, ,1.4, ,121.9, ,13.0, 
75,Irvine,South Coast Valleys,1/30/2019,030,1.68, ,0.40, ,130, ,1.3, ,19.7, ,10.3, ,14.1, ,98, ,62, ,84, ,11.4, ,1.1, ,96.2, ,13.5, 
75,Irvine,South Coast Valleys,1/31/2019,031,0.83, ,9.50, ,66, ,1.3, ,16.5, ,9.6, ,12.6, ,97, ,72, ,88, ,10.7, ,2.0, ,169.8, ,13.5, 
75,Irvine,South Coast Valleys,2/1/2019,032,1.71, ,0.70, ,132, ,1.2, ,17.7, ,8.3, ,13.0, ,98, ,58, ,80, ,9.6, ,1.7, ,145.2, ,13.1, 
75,Irvine,South Coast Valleys,2/2/2019,033,0.34, ,35.60, ,30, ,1.3, ,15.8, ,10.9, ,13.1, ,98, ,76, ,88, ,11.1, ,3.3,Y,288.3,Y,13.4, 
75,Irvine,South Coast Valleys,2/3/2019,034,0.75, ,5.60, ,74, ,1.2, ,14.6, ,10.0, ,12.0, ,94, ,73, ,87, ,10.0, ,1.8, ,159.0, ,13.2, 
75,Irvine,South Coast Valleys,2/4/2019,035,0.50, ,15.50, ,59, ,1.2, ,14.6, ,10.2, ,11.9, ,96, ,78, ,90, ,10.2, ,2.1, ,184.9, ,13.2, 
75,Irvine,South Coast Valleys,2/5/2019,036,1.20, ,5.60, ,113, ,0.9, ,13.2, ,5.3, ,10.2, ,95, ,53, ,77, ,6.2, ,1.7, ,147.7, ,13.0, 
75,Irvine,South Coast Valleys,2/6/2019,037,2.38, ,0.00, ,203,R,0.6, ,13.9, ,1.4, ,7.4, ,90, ,30, ,57, ,-0.5, ,1.4, ,121.1, ,12.3, 
75,Irvine,South Coast Valleys,2/7/2019,038,2.47, ,0.00, ,200,R,0.6, ,16.1, ,1.2, ,9.0, ,83, ,33, ,53, ,-0.1, ,1.3, ,108.5, ,11.7, 
75,Irvine,South Coast Valleys,2/8/2019,039,2.47, ,0.00, ,198,R,0.8, ,17.0, ,4.7, ,10.2, ,87, ,41, ,62, ,3.3, ,1.2, ,107.2, ,11.5, 
75,Irvine,South Coast Valleys,2/9/2019,040,1.88, ,2.90, ,151, ,1.0, ,16.0, ,6.5, ,10.4, ,91, ,53, ,76, ,6.4, ,1.5, ,126.7, ,11.7, 
75,Irvine,South Coast Valleys,2/10/2019,041,1.40, ,2.50, ,115, ,1.0, ,14.5, ,5.0, ,9.8, ,94, ,63, ,83, ,7.0, ,1.6, ,135.2, ,11.9, 
